aX,aY,aZ,gX,gY,gZ
-2.669,-3.320,3.771,137.573,-243.408,-481.323
-2.108,-4.000,4.000,15.625,-182.922,-401.001
-1.574,-4.000,4.000,-89.539,-112.427,-273.315
-1.236,-3.468,3.829,-120.667,-63.477,-155.823
-0.871,-2.767,3.670,-90.393,-40.283,-93.811
-0.770,-2.162,3.584,-16.846,-24.353,-68.420
-0.688,-1.812,2.558,34.790,17.822,-54.565
-0.596,-1.385,1.627,38.879,45.105,-42.480
-0.438,-1.253,1.252,1.404,35.278,-27.161
-0.268,-0.839,1.540,-24.109,8.362,-6.531
-0.135,-0.418,1.700,-34.729,-1.038,8.911
-0.061,-0.074,1.579,-34.729,11.230,12.756
-0.053,0.154,1.401,-26.978,24.048,11.108
-0.068,0.313,1.190,-14.954,33.081,6.958
-0.071,0.474,1.036,-2.563,36.865,3.296
-0.047,0.514,0.839,8.057,39.734,-0.793
-0.058,0.559,0.666,7.507,43.335,-3.601
-0.058,0.664,0.541,5.615,45.349,-4.089
-0.045,0.638,0.378,9.460,47.485,-7.202
-0.045,0.522,0.201,12.573,46.143,-10.864
-0.057,0.503,0.062,14.954,39.063,-8.728
-0.057,0.554,0.003,15.320,27.466,-3.601
-0.030,0.600,0.124,8.362,12.756,0.488
-0.015,0.645,0.279,4.150,1.282,2.380
-0.011,0.684,0.468,7.507,-5.920,1.465
-0.027,0.694,0.644,16.174,-10.376,-1.587
0.020,0.783,0.739,26.367,-9.216,-3.662
-0.031,0.710,0.756,33.875,-4.700,-9.644
-0.044,0.622,0.724,27.100,-0.244,-15.747
-0.078,0.590,0.796,20.386,0.610,-15.991
-0.079,0.534,0.848,19.714,1.221,-15.381
-0.088,0.486,0.788,14.648,6.836,-14.282
